s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
973.0158,441.5635,751.4599,105.7103,380.5569,9.7209,-0.0964,0.0085
985.7983,450.0543,761.0149,105.5959,380.1452,9.6998,-0.0630,0.0085
998.5809,457.4545,771.4376,105.5211,379.8758,7.4999,0.7250,0.0066
1011.3635,463.6759,782.6039,106.3791,382.9649,1.0120,0.7058,0.0009
1023.4488,469.4426,793.2247,107.1628,385.7862,6.0681,0.6881,-0.0052
1035.5341,476.1129,803.3025,107.9214,388.5172,8.5730,0.6709,-0.0072
1047.6195,483.6362,812.7606,108.6559,391.1614,8.6901,0.6541,-0.0072
1059.7048,491.9552,821.5270,109.3673,393.7223,8.8043,0.6377,-0.0072
1071.7902,501.0066,829.5350,110.0564,396.2031,8.9156,0.6217,-0.0072
1083.8755,510.7215,836.7236,110.7241,398.6069,9.0241,0.6062,-0.0072
1095.9608,521.0259,843.0382,111.3713,400.9366,8.0152,0.5910,-0.0063
1108.0462,531.8415,848.4307,111.9986,403.1950,4.5090,0.5762,-0.0035
1120.7078,543.4085,853.5806,112.6358,405.4889,1.0882,0.5611,-0.0008
1133.3694,554.9755,858.7306,113.2528,407.7102,0.0000,0.5463,-0.0000
1146.0311,566.5424,863.8805,113.8504,409.8616,0.0000,0.5320,-0.0000
1158.6927,578.1094,869.0305,114.4294,411.9458,0.0000,0.5180,0.0000
1171.3543,589.6764,874.1804,114.9903,413.9652,0.0000,0.5044,0.0000
1184.0159,601.2433,879.3303,115.5339,415.9222,0.0000,0.4912,-0.0000
1196.6776,612.8103,884.4803,116.0608,417.8190,0.0000,0.4783,0.0000
1209.3392,624.3773,889.6302,116.5716,419.6578,0.0000,0.4658,0.0000
1222.0008,635.9443,894.7802,117.0669,421.4407,0.0000,0.4535,-0.0000
1234.6624,647.5112,899.9301,117.5471,423.1695,0.0000,0.4416,-0.0000
1247.3241,659.0782,905.0801,118.0129,424.8463,0.0000,0.4301,-0.0000
1259.9857,670.6452,910.2300,118.4646,426.4727,0.0000,0.4188,0.0000
1272.6473,682.2121,915.3800,118.9029,428.0505,0.0000,0.4078,0.0000
1285.3090,693.7791,920.5299,119.3281,429.5813,0.0000,0.3971,0.0000
1297.9706,705.3461,925.6799,119.7408,431.0667,0.0000,0.3867,0.0000
1310.6322,716.9131,930.8298,120.1412,432.5083,0.0000,0.3765,-0.0000
1323.2938,728.4800,935.9798,120.5298,433.9074,0.0000,0.3666,-0.0000
1335.9555,740.0470,941.1297,120.9071,435.2655,0.0000,0.3570,0.0000
1348.6171,751.6140,946.2797,121.2733,436.5839,0.0000,0.3477,-0.0000
1361.2787,763.1809,951.4296,121.6288,437.8638,0.0000,0.3385,0.0000
1373.9403,774.7479,956.5796,121.9741,439.1066,0.0000,0.3296,0.0000
1386.6020,786.3149,961.7295,122.3093,440.3135,0.0000,0.3210,0.0000
1399.2636,797.8819,966.8795,122.6349,441.4855,0.0000,0.3126,0.0000
1411.9252,809.4488,972.0294,122.9510,442.6237,0.0000,0.3044,-0.0000
1424.5868,821.0158,977.1794,123.2581,443.7293,0.0000,0.2964,-0.0000
1437.2485,832.5828,982.3293,123.5565,444.8032,0.0000,0.2886,0.0000
1449.9101,844.1498,987.4792,123.8463,445.8465,0.0000,0.2810,-0.0000
1462.5717,855.7167,992.6292,124.1278,446.8601,0.0000,0.2737,0.0000
1475.2334,867.2837,997.7791,124.4013,447.8448,0.0000,0.2665,0.0000
1487.8950,878.8507,1002.9291,124.6671,448.8016,0.0000,0.2595,0.0000
1500.5566,890.4176,1008.0790,124.9254,449.7314,0.0000,0.2527,0.0000
1513.2182,901.9846,1013.2290,125.1764,450.6350,0.0000,0.2460,-0.0000
1525.8799,913.5516,1018.3789,125.4203,451.5130,0.0000,0.2396,-0.0000
1538.5415,925.1186,1023.5289,125.6573,452.3665,0.0000,0.2333,0.0000
1551.2031,936.6855,1028.6788,125.8878,453.1959,0.0000,0.2272,-0.0000
1563.8647,948.2525,1033.8288,126.1117,454.0022,0.0000,0.2212,0.0000
1576.5264,959.8195,1038.9787,126.3294,454.7859,0.0000,0.2154,0.0000
1589.1880,971.3864,1044.1287,126.5410,455.5478,0.0000,0.2098,-0.0000
1601.8496,982.9534,1049.2786,126.7468,456.2884,0.0000,0.2043,0.0000
1614.5113,994.5204,1054.4286,126.9468,457.0085,0.0000,0.1989,0.0000
1627.1729,1006.0874,1059.5785,127.1413,457.7085,0.0000,0.1937,0.0000
1639.8345,1017.6543,1064.7285,127.3303,458.3892,0.0000,0.1886,0.0000
