s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
732.8581,0.0000,732.8581,132.6414,477.5090,0.0000,0.0428,0.0000
742.1348,0.0000,742.1348,132.6707,477.6146,0.0000,0.0419,0.0000
751.4114,0.0000,751.4114,132.6995,477.7181,0.0000,0.0411,0.0000
760.6881,0.0000,760.6881,132.7277,477.8197,0.0000,0.0403,0.0000
769.9648,0.0000,769.9648,132.7553,477.9193,0.0000,0.0396,0.0000
779.2415,0.0000,779.2415,132.7825,478.0169,0.0000,0.0388,0.0000
788.5182,0.0000,788.5182,132.8091,478.1126,0.0000,0.0381,0.0000
797.7949,0.0000,797.7949,132.8351,478.2065,0.0000,0.0373,0.0000
807.0716,0.0000,807.0716,132.8607,478.2986,0.0000,0.0366,0.0000
816.3482,0.0000,816.3482,132.8858,478.3888,0.0000,0.0359,0.0000
825.6249,0.0000,825.6249,132.9104,478.4773,0.0000,0.0352,0.0000
834.9016,0.0000,834.9016,132.9345,478.5641,0.0000,0.0345,0.0000
844.1783,0.0000,844.1783,132.9581,478.6493,0.0000,0.0339,0.0000
853.4550,0.0000,853.4550,132.9813,478.7327,0.0000,0.0332,0.0000
862.7317,0.0000,862.7317,133.0040,478.8146,0.0000,0.0326,0.0000
872.0083,0.0000,872.0083,133.0263,478.8948,0.0000,0.0320,0.0000
881.2850,0.0000,881.2850,133.0482,478.9735,0.0000,0.0313,0.0000
890.5617,0.0000,890.5617,133.0696,479.0507,0.0000,0.0307,0.0000
899.8384,0.0000,899.8384,133.0907,479.1264,0.0000,0.0302,0.0000
909.1151,0.0000,909.1151,133.1113,479.2006,0.0000,0.0296,0.0000
918.3918,0.0000,918.3918,133.1315,479.2734,0.0000,0.0290,0.0000
927.6685,0.0000,927.6685,133.1513,479.3447,0.0000,0.0284,0.0000
936.9451,0.0000,936.9451,133.1708,479.4147,0.0000,0.0279,0.0000
946.2218,0.0000,946.2218,133.1898,479.4834,0.0000,0.0274,0.0000
955.4985,0.0000,955.4985,133.2085,479.5507,0.0000,0.0268,0.0000
964.7752,0.0000,964.7752,133.2268,479.6166,0.0000,0.0263,0.0000
974.0519,0.0000,974.0519,133.2448,479.6814,0.0000,0.0258,0.0000
983.3286,0.0000,983.3286,133.2625,479.7448,0.0000,0.0253,0.0000
992.6052,0.0000,992.6052,133.2797,479.8071,0.0000,0.0248,0.0000
1001.8819,0.0000,1001.8819,133.2967,479.8681,0.0000,0.0244,0.0000
1011.1586,0.0000,1011.1586,133.3133,479.9280,0.0000,0.0239,0.0000
1020.4353,0.0000,1020.4353,133.3296,479.9867,0.0000,0.0234,0.0000
1029.7120,0.0000,1029.7120,133.3456,480.0442,0.0000,0.0230,0.0000
1038.9887,0.0000,1038.9887,133.3613,480.1007,0.0000,0.0225,0.0000
1048.2654,0.0000,1048.2654,133.3767,480.1560,0.0000,0.0221,0.0000
1057.5420,0.0000,1057.5420,133.3918,480.2103,0.0000,0.0217,0.0000
1066.8187,0.0000,1066.8187,133.4065,480.2635,0.0000,0.0213,0.0000
1076.0954,0.0000,1076.0954,133.4210,480.3157,0.0000,0.0209,0.0000
1085.3721,0.0000,1085.3721,133.4353,480.3669,0.0000,0.0205,0.0000
1094.6488,0.0000,1094.6488,133.4492,480.4171,0.0000,0.0201,0.0000
1103.9255,0.0000,1103.9255,133.4629,480.4664,0.0000,0.0197,0.0000
1113.2021,0.0000,1113.2021,133.4763,480.5147,0.0000,0.0193,0.0000
1122.4788,0.0000,1122.4788,133.4894,480.5620,0.0000,0.0189,0.0000
1131.7555,0.0000,1131.7555,133.5023,480.6085,0.0000,0.0186,0.0000
1141.0322,0.0000,1141.0322,133.5150,480.6540,0.0000,0.0182,0.0000
1150.3089,0.0000,1150.3089,133.5274,480.6987,0.0000,0.0179,0.0000
1159.5856,0.0000,1159.5856,133.5396,480.7425,0.0000,0.0175,0.0000
1168.8623,0.0000,1168.8623,133.5515,480.7854,0.0000,0.0172,0.0000
1178.1389,0.0000,1178.1389,133.5632,480.8275,0.0000,0.0168,0.0000
1187.4156,0.0000,1187.4156,133.5747,480.8688,0.0000,0.0165,0.0000
1196.6923,0.0000,1196.6923,133.5859,480.9094,0.0000,0.0162,0.0000
1205.9690,0.0000,1205.9690,133.5970,480.9491,0.0000,0.0159,0.0000
1215.2457,0.0000,1215.2457,133.6078,480.9880,0.0000,0.0156,0.0000
1224.5224,0.0000,1224.5224,133.6184,481.0263,0.0000,0.0153,0.0000
1233.7990,0.0000,1233.7990,133.6288,481.0637,0.0000,0.0150,0.0000
1243.0757,0.0000,1243.0757,133.6390,481.1005,0.0000,0.0147,0.0000
1252.3524,0.0000,1252.3524,133.6490,481.1365,0.0000,0.0144,0.0000
1261.6291,0.0000,1261.6291,133.6589,481.1719,0.0000,-4.9654,0.0000
1270.9058,0.0000,1270.9058,130.2342,468.8430,0.0000,-5.5324,0.0000
1280.1825,0.0000,1280.1825,126.3092,454.7130,0.0000,-5.4280,0.0000
1289.4592,0.0000,1289.4592,122.3358,440.4090,0.0000,-5.3256,0.0000
1298.7358,0.0000,1298.7358,118.3079,425.9083,0.0000,-5.2252,0.0000
1308.0125,0.0000,1308.0125,114.2179,411.1844,0.0000,-5.1266,0.0000
1317.2892,0.0000,1317.2892,110.0574,396.2067,0.0000,-5.0299,0.0000
1326.5659,0.0000,1326.5659,105.8166,380.9397,0.0000,-4.9350,0.0000
1335.8426,0.0000,1335.8426,101.4837,365.3411,0.0000,-4.8420,0.0000
1345.1193,0.0000,1345.1193,97.0446,349.3606,0.0000,-4.7506,0.0000
1354.3959,0.0000,1354.3959,92.4824,332.9368,0.0000,-4.6610,0.0000
1363.6726,0.0000,1363.6726,87.7762,315.9942,0.0000,-4.5731,0.0000
